"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2016","36","36023","Cortland County (NY)","44,198","7,230","6,037","8,423","6,037 to 8,423","16.4","13.7","19.1","13.7 to 19.1","9,039","1,904","1,533","2,275","1,533 to 2,275","21.1","17.0","25.2","17.0 to 25.2","6,703","1,227","959","1,495","959 to 1,495","18.3","14.3","22.3","14.3 to 22.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,810","$48,072","$55,548","$48,072 to $55,548"
"2013","36","36023","Cortland County (NY)","45,260","6,586","5,206","7,966","5,206 to 7,966","14.6","11.6","17.6","11.6 to 17.6","9,591","1,984","1,547","2,421","1,547 to 2,421","20.7","16.1","25.3","16.1 to 25.3","7,118","1,350","1,013","1,687","1,013 to 1,687","19.0","14.3","23.7","14.3 to 23.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,163","$42,728","$49,598","$42,728 to $49,598"
"2016","36","36025","Delaware County (NY)","43,402","7,613","6,411","8,815","6,411 to 8,815","17.5","14.7","20.3","14.7 to 20.3","7,781","2,226","1,830","2,622","1,830 to 2,622","28.6","23.5","33.7","23.5 to 33.7","5,798","1,505","1,213","1,797","1,213 to 1,797","26.0","21.0","31.0","21.0 to 31.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,381","$42,553","$48,209","$42,553 to $48,209"
"2013","36","36025","Delaware County (NY)","44,737","7,973","6,667","9,279","6,667 to 9,279","17.8","14.9","20.7","14.9 to 20.7","8,406","2,445","2,026","2,864","2,026 to 2,864","29.1","24.1","34.1","24.1 to 34.1","6,122","1,691","1,369","2,013","1,369 to 2,013","27.6","22.3","32.9","22.3 to 32.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,380","$40,552","$46,208","$40,552 to $46,208"
"2016","36","36027","Dutchess County (NY)","276,809","25,588","22,254","28,922","22,254 to 28,922","9.2","8.0","10.4","8.0 to 10.4","55,824","6,377","5,087","7,667","5,087 to 7,667","11.4","9.1","13.7","9.1 to 13.7","42,161","4,126","3,172","5,080","3,172 to 5,080","9.8","7.5","12.1","7.5 to 12.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$73,680","$70,621","$76,739","$70,621 to $76,739"
"2013","36","36027","Dutchess County (NY)","279,192","26,524","22,970","30,078","22,970 to 30,078","9.5","8.2","10.8","8.2 to 10.8","59,706","7,656","6,374","8,938","6,374 to 8,938","12.8","10.7","14.9","10.7 to 14.9","45,416","5,493","4,511","6,475","4,511 to 6,475","12.1","9.9","14.3","9.9 to 14.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$69,300","$65,867","$72,733","$65,867 to $72,733"
"2016","36","36029","Erie County (NY)","895,223","126,912","117,664","136,160","117,664 to 136,160","14.2","13.2","15.2","13.2 to 15.2","186,318","36,878","32,769","40,987","32,769 to 40,987","19.8","17.6","22.0","17.6 to 22.0","136,496","24,462","21,363","27,561","21,363 to 27,561","17.9","15.6","20.2","15.6 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,175","$52,838","$55,512","$52,838 to $55,512"
"2013","36","36029","Erie County (NY)","894,039","134,858","126,795","142,921","126,795 to 142,921","15.1","14.2","16.0","14.2 to 16.0","188,805","43,525","40,040","47,010","40,040 to 47,010","23.1","21.3","24.9","21.3 to 24.9","139,937","31,339","28,704","33,974","28,704 to 33,974","22.4","20.5","24.3","20.5 to 24.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,123","$50,045","$52,201","$50,045 to $52,201"
"2016","36","36031","Essex County (NY)","35,970","4,532","3,651","5,413","3,651 to 5,413","12.6","10.1","15.1","10.1 to 15.1","6,093","1,117","868","1,366","868 to 1,366","18.3","14.2","22.4","14.2 to 22.4","4,479","783","598","968","598 to 968","17.5","13.4","21.6","13.4 to 21.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,506","$46,685","$54,327","$46,685 to $54,327"
"2013","36","36031","Essex County (NY)","36,401","4,269","3,329","5,209","3,329 to 5,209","11.7","9.1","14.3","9.1 to 14.3","6,596","1,256","976","1,536","976 to 1,536","19.0","14.8","23.2","14.8 to 23.2","4,855","891","667","1,115","667 to 1,115","18.4","13.8","23.0","13.8 to 23.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,337","$42,423","$50,251","$42,423 to $50,251"
"2016","36","36033","Franklin County (NY)","44,675","8,235","6,870","9,600","6,870 to 9,600","18.4","15.3","21.5","15.3 to 21.5","9,634","2,520","2,038","3,002","2,038 to 3,002","26.2","21.2","31.2","21.2 to 31.2","7,226","1,795","1,442","2,148","1,442 to 2,148","24.8","19.9","29.7","19.9 to 29.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,062","$46,477","$51,647","$46,477 to $51,647"
"2013","36","36033","Franklin County (NY)","45,437","10,187","8,883","11,491","8,883 to 11,491","22.4","19.5","25.3","19.5 to 25.3","10,039","2,914","2,438","3,390","2,438 to 3,390","29.0","24.3","33.7","24.3 to 33.7","7,317","1,985","1,609","2,361","1,609 to 2,361","27.1","22.0","32.2","22.0 to 32.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,672","$39,331","$46,013","$39,331 to $46,013"
"2016","36","36035","Fulton County (NY)","52,594","7,878","6,431","9,325","6,431 to 9,325","15.0","12.2","17.8","12.2 to 17.8","10,513","2,379","1,854","2,904","1,854 to 2,904","22.6","17.6","27.6","17.6 to 27.6","7,823","1,659","1,266","2,052","1,266 to 2,052","21.2","16.2","26.2","16.2 to 26.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,982","$42,938","$49,026","$42,938 to $49,026"
"2013","36","36035","Fulton County (NY)","53,415","8,385","6,754","10,016","6,754 to 10,016","15.7","12.6","18.8","12.6 to 18.8","11,079","2,777","2,217","3,337","2,217 to 3,337","25.1","20.0","30.2","20.0 to 30.2","8,223","1,985","1,554","2,416","1,554 to 2,416","24.1","18.9","29.3","18.9 to 29.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,264","$38,927","$45,601","$38,927 to $45,601"
"2016","36","36037","Genesee County (NY)","56,559","6,475","5,385","7,565","5,385 to 7,565","11.4","9.5","13.3","9.5 to 13.3","11,788","1,914","1,542","2,286","1,542 to 2,286","16.2","13.0","19.4","13.0 to 19.4","8,732","1,249","970","1,528","970 to 1,528","14.3","11.1","17.5","11.1 to 17.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,211","$51,277","$57,145","$51,277 to $57,145"
"2013","36","36037","Genesee County (NY)","57,519","8,434","7,354","9,514","7,354 to 9,514","14.7","12.8","16.6","12.8 to 16.6","12,269","2,368","1,992","2,744","1,992 to 2,744","19.3","16.2","22.4","16.2 to 22.4","9,121","1,753","1,468","2,038","1,468 to 2,038","19.2","16.1","22.3","16.1 to 22.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,641","$40,584","$44,698","$40,584 to $44,698"
"2016","36","36039","Greene County (NY)","44,437","7,278","6,108","8,448","6,108 to 8,448","16.4","13.8","19.0","13.8 to 19.0","7,734","1,649","1,307","1,991","1,307 to 1,991","21.3","16.9","25.7","16.9 to 25.7","5,669","1,161","914","1,408","914 to 1,408","20.5","16.1","24.9","16.1 to 24.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,860","$44,850","$54,870","$44,850 to $54,870"
"2013","36","36039","Greene County (NY)","45,178","6,266","4,947","7,585","4,947 to 7,585","13.9","11.0","16.8","11.0 to 16.8","8,311","1,797","1,411","2,183","1,411 to 2,183","21.6","17.0","26.2","17.0 to 26.2","6,103","1,187","894","1,480","894 to 1,480","19.4","14.6","24.2","14.6 to 24.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,190","$46,457","$53,923","$46,457 to $53,923"
"2016","36","36041","Hamilton County (NY)","4,527","463","358","568","358 to 568","10.2","7.9","12.5","7.9 to 12.5","629","116","88","144","88 to 144","18.4","14.0","22.8","14.0 to 22.8","483","78","58","98","58 to 98","16.1","12.1","20.1","12.1 to 20.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,134","$48,334","$55,934","$48,334 to $55,934"
"2013","36","36041","Hamilton County (NY)","4,758","574","453","695","453 to 695","12.1","9.6","14.6","9.6 to 14.6","726","158","123","193","123 to 193","21.8","17.0","26.6","17.0 to 26.6","567","107","80","134","80 to 134","18.9","14.2","23.6","14.2 to 23.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,737","$42,319","$49,155","$42,319 to $49,155"
"2016","36","36043","Herkimer County (NY)","61,197","9,968","8,469","11,467","8,469 to 11,467","16.3","13.9","18.7","13.9 to 18.7","12,937","3,068","2,530","3,606","2,530 to 3,606","23.7","19.5","27.9","19.5 to 27.9","9,654","2,074","1,668","2,480","1,668 to 2,480","21.5","17.3","25.7","17.3 to 25.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,633","$46,934","$52,332","$46,934 to $52,332"
"2013","36","36043","Herkimer County (NY)","62,749","10,312","8,881","11,743","8,881 to 11,743","16.4","14.1","18.7","14.1 to 18.7","13,326","3,388","2,833","3,943","2,833 to 3,943","25.4","21.2","29.6","21.2 to 29.6","9,924","2,203","1,748","2,658","1,748 to 2,658","22.2","17.6","26.8","17.6 to 26.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,460","$39,638","$45,282","$39,638 to $45,282"
"2016","36","36045","Jefferson County (NY)","107,668","16,468","14,147","18,789","14,147 to 18,789","15.3","13.1","17.5","13.1 to 17.5","26,922","5,799","4,823","6,775","4,823 to 6,775","21.5","17.9","25.1","17.9 to 25.1","18,108","3,861","3,154","4,568","3,154 to 4,568","21.3","17.4","25.2","17.4 to 25.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,206","$43,421","$48,991","$43,421 to $48,991"
"2013","36","36045","Jefferson County (NY)","113,103","17,772","15,045","20,499","15,045 to 20,499","15.7","13.3","18.1","13.3 to 18.1","29,142","6,593","5,348","7,838","5,348 to 7,838","22.6","18.3","26.9","18.3 to 26.9","18,946","4,320","3,352","5,288","3,352 to 5,288","22.8","17.7","27.9","17.7 to 27.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,510","$43,608","$49,412","$43,608 to $49,412"
"2016","36","36047","Kings County (NY)","2,602,147","535,092","513,505","556,679","513,505 to 556,679","20.6","19.8","21.4","19.8 to 21.4","599,792","170,439","159,730","181,148","159,730 to 181,148","28.4","26.6","30.2","26.6 to 30.2","408,820","116,392","108,210","124,574","108,210 to 124,574","28.5","26.5","30.5","26.5 to 30.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,793","$54,002","$55,584","$54,002 to $55,584"
"2013","36","36047","Kings County (NY)","2,565,981","597,129","573,388","620,870","573,388 to 620,870","23.3","22.4","24.2","22.4 to 24.2","596,828","198,970","188,130","209,810","188,130 to 209,810","33.3","31.5","35.1","31.5 to 35.1","406,242","136,288","127,677","144,899","127,677 to 144,899","33.5","31.4","35.6","31.4 to 35.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,067","$46,137","$47,997","$46,137 to $47,997"
"2016","36","36049","Lewis County (NY)","26,516","4,191","3,453","4,929","3,453 to 4,929","15.8","13.0","18.6","13.0 to 18.6","6,049","1,471","1,194","1,748","1,194 to 1,748","24.3","19.7","28.9","19.7 to 28.9","4,388","1,017","817","1,217","817 to 1,217","23.2","18.6","27.8","18.6 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,314","$44,501","$52,127","$44,501 to $52,127"
"2013","36","36049","Lewis County (NY)","26,807","3,966","3,244","4,688","3,244 to 4,688","14.8","12.1","17.5","12.1 to 17.5","6,317","1,447","1,144","1,750","1,144 to 1,750","22.9","18.1","27.7","18.1 to 27.7","4,602","992","757","1,227","757 to 1,227","21.6","16.5","26.7","16.5 to 26.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,926","$41,988","$49,864","$41,988 to $49,864"
"2016","36","36051","Livingston County (NY)","58,252","8,072","6,895","9,249","6,895 to 9,249","13.9","11.9","15.9","11.9 to 15.9","11,340","1,865","1,494","2,236","1,494 to 2,236","16.4","13.1","19.7","13.1 to 19.7","8,571","1,241","975","1,507","975 to 1,507","14.5","11.4","17.6","11.4 to 17.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,256","$50,537","$57,975","$50,537 to $57,975"
"2013","36","36051","Livingston County (NY)","58,994","8,832","7,690","9,974","7,690 to 9,974","15.0","13.1","16.9","13.1 to 16.9","12,136","2,151","1,775","2,527","1,775 to 2,527","17.7","14.6","20.8","14.6 to 20.8","9,150","1,381","1,080","1,682","1,080 to 1,682","15.1","11.8","18.4","11.8 to 18.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,901","$48,676","$55,126","$48,676 to $55,126"
"2016","36","36053","Madison County (NY)","66,655","7,421","5,834","9,008","5,834 to 9,008","11.1","8.7","13.5","8.7 to 13.5","13,660","2,170","1,647","2,693","1,647 to 2,693","15.9","12.1","19.7","12.1 to 19.7","10,292","1,435","1,067","1,803","1,067 to 1,803","13.9","10.3","17.5","10.3 to 17.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,703","$53,915","$61,491","$53,915 to $61,491"
"2013","36","36053","Madison County (NY)","67,666","9,434","7,709","11,159","7,709 to 11,159","13.9","11.4","16.4","11.4 to 16.4","14,615","2,817","2,274","3,360","2,274 to 3,360","19.3","15.6","23.0","15.6 to 23.0","11,157","1,873","1,451","2,295","1,451 to 2,295","16.8","13.0","20.6","13.0 to 20.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,057","$47,529","$54,585","$47,529 to $54,585"
"2016","36","36055","Monroe County (NY)","723,936","106,742","99,199","114,285","99,199 to 114,285","14.7","13.7","15.7","13.7 to 15.7","155,750","32,671","29,627","35,715","29,627 to 35,715","21.0","19.0","23.0","19.0 to 23.0","114,493","22,464","20,223","24,705","20,223 to 24,705","19.6","17.6","21.6","17.6 to 21.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,684","$53,027","$56,341","$53,027 to $56,341"
"2013","36","36055","Monroe County (NY)","725,967","112,828","105,456","120,200","105,456 to 120,200","15.5","14.5","16.5","14.5 to 16.5","160,297","36,393","33,099","39,687","33,099 to 39,687","22.7","20.6","24.8","20.6 to 24.8","117,801","26,178","23,660","28,696","23,660 to 28,696","22.2","20.1","24.3","20.1 to 24.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,722","$50,553","$52,891","$50,553 to $52,891"
"2016","36","36057","Montgomery County (NY)","48,385","9,610","8,401","10,819","8,401 to 10,819","19.9","17.4","22.4","17.4 to 22.4","10,968","3,495","2,946","4,044","2,946 to 4,044","31.9","26.9","36.9","26.9 to 36.9","7,987","2,433","2,049","2,817","2,049 to 2,817","30.5","25.7","35.3","25.7 to 35.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,193","$39,870","$44,516","$39,870 to $44,516"
